Time,adcp_pitch,adcp_roll,Air_Temp,Battery voltage lead acid ,BatteryVoltage lithium,CardNo,Conductivity_0001m,Conductivity_500m,CurrDir015,CurrDir025,CurrDir035,CurrDir050,CurrDir075,CurrDir100,CurrSp015,CurrSp025,CurrSp035,CurrSp050,CurrSp075,CurrSp100,Latitude,Lead  Acid Charge,Lead Acid Discharge,Lithium Discharge,Longitude,LWRdown_cambal,LWRdown_micro volt_cambal,LWRdown_Temp_Case_cambal,LWRdown_Temp_Dome_cambal,Precipitation,pressure_500m,Rel_Hum,SLP,SWRdown_cambal,Temperature_0001m,Temperature_500m,WindDirection,WindGust,WindSpeed
09.02.2023 18:00:00,-6.17188,1.32813,27.600708,12.16797,14.69238,1,51.792908,38.378601,199.6875,185.625,195.4688,202.5,178.5938,158.9063,20.9961,22.9492,18.0664,3.9063,15.625,3.418,10.458221,0,0.22461,2.65625,94.099945,407.22656,-149.51172,27.77344,27.53906,6.26953,48.204346,76.4844,1011.01074,0,28.21106,0,5.625,8.125,5.4688
09.02.2023 21:00:00,-2.42188,3.67188,27.402344,12.1582,14.69238,1,51.72699,38.285217,227.8125,253.125,248.9063,336.0938,144.8438,123.75,20.0195,15.625,17.0898,4.8828,18.5547,17.5781,10.45517,0,0.22461,2.65625,94.09903,402.34375,-158.30078,27.53906,27.30469,6.32813,46.999512,75.625,1009.39941,0,28.174744,0,9.8438,6.5625,5.1563
10.02.2023 00:00:00,0.97656,3.86719,27.503052,12.14844,14.69238,1,51.661072,38.985596,241.875,239.0625,246.0938,257.3438,257.3438,253.125,39.0625,37.1094,37.5977,33.2031,47.8516,56.1523,10.45517,0,0.22461,2.65625,94.097198,402.34375,-160.25391,27.65625,27.42188,6.21094,44.963379,72.6172,1010.4248,0,28.097839,0,7.0313,7.0313,5.625
10.02.2023 03:00:00,0.23438,5.54688,28.000488,12.43164,14.69238,1,52.36145,38.576355,260.1563,262.9688,270,281.25,255.9375,255.9375,43.9453,36.6211,39.5508,43.457,44.9219,56.6406,10.458679,0.80078,0.13672,2.65625,94.096436,423.82813,-96.77734,30.46875,29.41406,6.5625,45.234375,70.8984,1012.47559,685.54688,28.204651,0,7.0313,8.9063,6.7188
10.02.2023 06:00:00,-1.5625,1.36719,28.002014,12.46094,14.67773,1,52.778931,38.265991,265.7813,282.6563,279.8438,296.7188,254.5313,255.9375,29.7852,19.5313,15.625,20.5078,13.1836,9.2773,10.460052,0.55664,0.18555,2.65625,94.097809,420.89844,-111.42578,30.41016,29.47266,6.50391,47.340088,72.1875,1011.52344,625,28.30719,0,9.8438,8.5938,5.4688
10.02.2023 09:00:00,-2.22656,2.03125,28.186646,12.45117,14.70215,1,52.905273,38.260498,265.7813,265.7813,278.4375,293.9063,247.5,322.0313,33.6914,23.9258,19.043,12.207,9.2773,8.7891,10.455322,0.57617,0.25391,2.65625,94.098724,413.08594,-148.53516,30.76172,29.94141,6.32813,46.801758,70.0391,1009.10645,603.51563,28.38623,9.803162,12.6563,9.2188,7.3438
10.02.2023 12:00:00,-0.89844,8.82813,28.000488,12.23145,14.69238,1,52.784424,38.730164,257.3438,258.75,250.3125,248.9063,247.5,293.9063,60.5469,55.1758,45.8984,34.1797,39.0625,35.1563,10.454865,0.06836,0.14648,2.65625,94.097198,402.34375,-170.50781,28.24219,28.00781,6.26953,44.348145,74.3359,1010.13184,0,28.334961,10.298767,12.6563,9.0625,7.5
10.02.2023 15:00:00,-0.54688,4.0625,27.939453,12.21191,14.69238,1,52.715759,38.686218,261.5625,268.5938,275.625,258.75,254.5313,260.1563,66.8945,57.1289,34.1797,41.5039,58.5938,44.9219,10.457611,0,0.22461,2.65625,94.096436,437.5,-63.08594,28.18359,27.83203,6.21094,44.597168,75.1953,1011.81641,0,28.283691,10.25177,12.6563,7.9688,6.4063
10.02.2023 18:00:00,-3.00781,2.34375,27.69989,12.21191,14.70215,1,52.69928,38.568115,305.1563,299.5313,316.4063,302.3438,288.2813,270,36.1328,34.1797,24.4141,14.6484,26.8555,25.8789,10.460968,0,0.22461,2.65625,94.097656,399.41406,-171.48438,27.83203,27.59766,6.21094,47.614746,76.9141,1011.52344,0,28.283691,10.115051,7.0313,7.3438,4.2188
10.02.2023 21:00:00,-3.51563,2.96875,27.397766,12.16797,14.72168,1,52.688293,38.156128,288.2813,298.125,296.7188,277.0313,209.5313,196.875,36.6211,31.25,32.7148,12.207,16.6016,6.8359,10.459442,0,0.22461,2.65625,94.097809,0,-400,0,0,6.15234,47.281494,79.0625,1009.83887,0,28.275146,9.694214,358.5938,7.5,3.75
11.02.2023 00:00:00,-2.77344,2.03125,27.481689,12.14844,14.69238,1,52.696533,38.686218,258.75,261.5625,260.1563,239.0625,216.5625,233.4375,41.9922,42.4805,41.5039,20.5078,19.5313,34.668,10.458832,0,0.22461,2.65625,94.096283,398.4375,-169.04297,27.59766,27.36328,6.09375,45.549316,77.7734,1010.71777,1.95313,28.264465,10.249634,7.0313,7.3438,5.1563
11.02.2023 03:00:00,2.92969,8.08594,27.820435,12.43164,14.70215,1,52.842102,38.656006,264.375,270,264.375,247.5,248.9063,239.0625,79.5898,67.8711,65.918,69.8242,71.2891,37.5977,10.460815,0.67383,0.16602,2.65625,94.095978,401.36719,-167.57813,30.23438,29.35547,6.32813,45.252686,74.3359,1012.62207,578.125,28.349915,10.219727,21.0938,8.75,6.875
11.02.2023 06:00:00,-3.32031,3.20313,28.192749,12.4707,14.69238,1,52.872314,38.21106,288.2813,298.125,295.3125,305.1563,310.7813,323.4375,32.2266,31.7383,24.4141,28.3203,29.2969,23.4375,10.463715,0.54688,0.18555,2.65625,94.097656,406.25,-154.39453,30.64453,29.64844,6.26953,46.812744,70.8984,1010.64453,681.64063,28.388367,9.751892,22.5,8.4375,5.3125
11.02.2023 09:00:00,-2.30469,3.04688,28.153076,12.48047,14.69238,1,52.913513,38.21106,286.875,258.75,305.1563,327.6563,348.75,60.4688,16.6016,6.8359,11.7188,6.8359,11.7188,19.043,10.459137,0.56641,0.25391,2.65625,94.098572,402.34375,-175.87891,30.76172,29.94141,6.21094,47.592773,72.1875,1008.59375,613.28125,28.428955,9.749756,26.7188,9.375,6.875
11.02.2023 12:00:00,0.19531,4.10156,27.89978,12.21191,14.69238,1,52.847595,38.52417,272.8125,281.25,275.625,270,289.6875,222.1875,38.5742,20.9961,38.5742,28.3203,33.6914,18.0664,10.456848,0.11719,0.14648,2.65625,94.097046,401.36719,-169.04297,28.06641,27.83203,6.15234,45.549316,76.9141,1009.69238,0,28.362732,10.083008,25.3125,7.9688,6.25
11.02.2023 15:00:00,-2.65625,4.64844,27.785339,12.19238,14.70215,1,52.910767,38.933411,248.9063,244.6875,240.4688,234.8438,254.5313,251.7188,61.5234,51.2695,49.8047,46.3867,74.707,71.7773,10.458527,0,0.22461,2.65625,94.09613,400.39063,-170.01953,27.94922,27.65625,6.09375,44.447021,77.7734,1011.88965,0,28.330688,10.514526,21.0938,8.4375,6.25
11.02.2023 18:00:00,0.89844,5.3125,27.54425,12.17773,14.69238,1,53.053589,38.296204,268.5938,258.75,267.1875,275.625,275.625,323.4375,49.3164,25.3906,37.5977,14.6484,35.6445,20.5078,10.460815,0,0.22461,2.65625,94.097351,417.96875,-115.33203,27.71484,27.42188,6.03516,47.072754,78.6328,1011.4502,0,28.349915,9.839478,12.6563,6.4063,3.75
11.02.2023 21:00:00,-3.51563,0.35156,27.309265,12.17773,14.69238,1,53.061829,38.31543,46.4063,9.8438,111.0938,74.5313,189.8438,208.125,8.3008,6.8359,2.4414,3.418,15.625,27.3438,10.458527,0,0.22461,2.65625,94.100555,424.80469,-88.96484,27.53906,27.1875,5.97656,49.456787,79.0625,1010.20508,0,28.343506,9.848022,333.2813,6.4063,3.75
12.02.2023 00:00:00,-3.59375,-0.50781,27.278748,12.14844,14.71191,1,53.037109,38.389587,272.8125,241.875,225,219.375,267.1875,261.5625,24.9023,21.4844,26.3672,28.8086,22.9492,7.8125,10.457458,0,0.22461,2.65625,94.09903,393.55469,-179.29688,27.30469,27.07031,5.91797,47.431641,78.6328,1011.66992,0,28.30719,9.935608,337.5,5.3125,2.9688
12.02.2023 03:00:00,0.74219,1.75781,27.496948,12.49023,14.69238,1,53.160706,38.785095,264.375,264.375,260.1563,251.7188,272.8125,261.5625,41.9922,46.875,47.3633,43.9453,43.9453,22.9492,10.457611,0.6543,0.16602,2.65625,94.096741,403.32031,-157.8125,30.35156,29.35547,6.03516,44.615479,78.2031,1013.57422,597.65625,28.358459,10.356445,358.5938,5.1563,3.9063
12.02.2023 06:00:00,0.27344,2.96875,27.901306,12.44141,14.69238,1,53.352966,38.40332,284.0625,285.4688,286.875,275.625,279.8438,286.875,31.7383,35.1563,37.1094,34.1797,26.8555,20.9961,10.459595,0.51758,0.19531,2.65625,94.098114,410.15625,-129.98047,31.99219,30.41016,4.86328,47.424316,73.4766,1012.10938,953.125,28.576355,9.948425,16.875,5.4688,4.2188
12.02.2023 09:00:00,-1.48438,3.82813,28.093567,12.51953,14.69238,1,53.424377,38.09021,237.6563,225,216.5625,198.2813,182.8125,140.625,18.5547,19.043,19.5313,23.4375,16.1133,12.207,10.45639,0.54688,0.24414,2.65625,94.099792,398.4375,-194.43359,31.28906,30.41016,4.86328,48.07251,71.7578,1009.69238,595.70313,28.755798,9.619446,12.6563,6.25,4.8438
12.02.2023 12:00:00,-3.28125,5.66406,27.9776,12.23145,14.71191,1,53.075562,38.359375,255.9375,248.9063,241.875,217.9688,219.375,170.1563,25.3906,23.4375,22.9492,33.2031,15.1367,18.0664,10.453949,0.16602,0.13672,2.65625,94.099182,397.46094,-183.20313,28.125,27.89063,4.86328,47.164307,72.1875,1010.49805,1.95313,28.482361,9.905701,16.875,7.3438,5.4688
12.02.2023 15:00:00,2.8125,7.77344,27.850952,12.20215,14.69238,1,52.938232,38.738403,268.5938,272.8125,246.0938,258.75,257.3438,250.3125,23.4375,25.3906,44.4336,69.3359,55.1758,46.875,10.455322,0,0.22461,2.65625,94.097198,394.53125,-188.08594,27.89063,27.65625,4.86328,44.981689,74.7656,1012.47559,0,28.446045,10.300903,26.7188,6.5625,5.3125
12.02.2023 18:00:00,-3.82813,2.22656,27.684631,12.19238,14.75098,1,52.836609,38.197327,237.6563,243.2813,232.0313,243.2813,285.4688,257.3438,6.3477,15.1367,28.3203,31.7383,20.0195,27.832,10.457306,0,0.22461,2.65625,94.098267,434.57031,-68.94531,27.77344,27.48047,4.86328,47.611084,75.1953,1012.18262,0,28.396912,9.732666,25.3125,4.8438,3.5938
12.02.2023 21:00:00,-1.83594,-0.82031,27.301636,12.19238,14.67773,1,52.81189,38.329163,170.1563,161.7188,163.125,167.3438,165.9375,191.25,16.6016,18.5547,19.5313,20.0195,14.1602,39.5508,10.45517,0,0.22461,2.65625,94.101929,423.82813,-92.38281,27.42188,27.12891,4.80469,48.786621,74.7656,1010.49805,0,28.364868,9.867249,4.2188,4.375,2.8125
13.02.2023 00:00:00,-3.82813,-0.19531,27.199402,12.19238,14.69238,1,52.778931,38.156128,198.2813,213.75,202.5,196.875,198.2813,175.7813,8.7891,19.043,14.1602,13.6719,6.3477,20.5078,10.453339,0,0.22461,2.65625,94.101318,391.60156,-181.73828,27.12891,26.89453,4.74609,48.061523,76.9141,1011.30371,0,28.369141,9.685669,350.1563,3.9063,2.0313
13.02.2023 03:00:00,2.92969,6.17188,27.416077,12.5,14.69238,1,52.748718,38.768616,243.2813,239.0625,250.3125,243.2813,234.8438,208.125,61.0352,57.1289,54.1992,62.9883,24.4141,25.8789,10.453339,0.6543,0.16602,2.65625,94.098724,400.39063,-158.30078,30.17578,29.12109,5.44922,45.245361,76.0547,1013.28125,640.625,28.407593,10.339355,1.4063,5.9375,4.6875
13.02.2023 06:00:00,1.21094,5.89844,27.800598,12.46094,14.69238,1,52.910767,38.183594,258.75,261.5625,260.1563,251.7188,233.4375,293.9063,36.1328,48.3398,42.9688,45.8984,21.9727,8.7891,10.454407,0.50781,0.19531,2.65625,94.099182,406.25,-143.16406,31.17188,29.82422,5.33203,46.365967,67.8906,1012.03613,816.40625,28.606262,9.728394,4.2188,7.6563,6.0938
13.02.2023 09:00:00,-3.00781,3.28125,27.844849,12.45117,14.69238,1,52.973938,38.318176,257.3438,255.9375,270,268.5938,122.3438,244.6875,23.9258,22.9492,24.9023,22.4609,9.7656,26.8555,10.451813,0.51758,0.24414,2.65625,94.101929,398.4375,-191.50391,30.87891,30.05859,4.98047,48.127441,72.6172,1010.05859,572.26563,28.676758,9.858704,5.625,6.7188,5.1563
13.02.2023 12:00:00,-5.23438,-0.50781,27.675476,12.24121,14.69238,1,52.833862,38.241272,265.7813,244.6875,272.8125,277.0313,139.2188,195.4688,4.3945,2.4414,5.3711,5.8594,7.8125,20.9961,10.449982,0.10742,0.14648,2.65625,94.103607,391.60156,-194.43359,27.77344,27.53906,4.92188,47.618408,71.7578,1011.01074,0,28.527222,9.783936,2.8125,6.875,4.8438
13.02.2023 15:00:00,-0.58594,6.21094,27.57782,12.22168,14.70215,1,52.778931,39.103699,219.375,246.0938,240.4688,239.0625,196.875,282.6563,23.9258,28.3203,36.6211,31.25,34.1797,14.6484,10.449677,0,0.22461,2.65625,94.100708,391.60156,-190.52734,27.59766,27.42188,4.80469,44.39209,74.7656,1013.20801,0,28.450317,10.69397,16.875,6.875,5.4688
13.02.2023 18:00:00,-3.04688,1.99219,27.379456,12.19238,14.70215,1,52.90802,38.20282,206.7188,213.75,220.7813,225,216.5625,282.6563,21.4844,29.2969,29.7852,31.25,37.1094,22.9492,10.452118,0,0.22461,2.65625,94.100403,381.83594,-214.94141,27.30469,27.07031,4.74609,46.61499,73.4766,1012.47559,0,28.499451,9.743347,18.2813,4.8438,3.9063
13.02.2023 21:00:00,-3.28125,3.125,26.90033,12.22168,14.71191,1,52.825623,38.189087,227.8125,223.5938,230.625,178.5938,177.1875,111.0938,28.8086,23.9258,11.7188,16.6016,28.3203,24.9023,10.451355,0,0.22461,2.65625,94.102234,414.0625,-113.37891,27.01172,26.71875,4.74609,47.889404,76.0547,1010.64453,0,28.418274,9.724121,5.625,5.625,4.2188
14.02.2023 00:00:00,-1.48438,3.24219,26.988831,12.19238,14.71191,1,52.767944,38.268738,248.9063,257.3438,244.6875,230.625,171.5625,191.25,14.1602,15.1367,9.2773,6.3477,15.625,11.2305,10.449524,0,0.22461,2.65625,94.103607,377.92969,-218.84766,27.01172,26.77734,4.62891,47.490234,76.4844,1011.30371,0,28.360596,9.807434,8.4375,7.5,5
14.02.2023 03:00:00,0.39063,5.85938,27.191772,12.41211,14.67773,1,52.929993,38.908691,244.6875,239.0625,237.6563,226.4063,243.2813,164.5313,46.875,50.293,54.1992,54.1992,39.0625,33.6914,10.450439,0.5957,0.17578,2.65625,94.101166,391.60156,-181.73828,29.76563,28.76953,5.50781,45.560303,73.9063,1013.50098,607.42188,28.448181,10.476074,12.6563,6.7188,5.4688
14.02.2023 06:00:00,0.97656,7.85156,27.495422,12.4707,14.69238,1,53.009644,38.518677,244.6875,243.2813,240.4688,233.4375,220.7813,136.4063,56.1523,56.1523,48.8281,49.8047,38.0859,26.8555,10.452271,0.50781,0.19531,2.65625,94.099487,396.48438,-158.30078,30.58594,29.23828,4.98047,44.857178,71.3281,1011.66992,964.84375,28.522949,10.078735,5.625,9.0625,6.875
14.02.2023 09:00:00,-2.03125,5.97656,27.498474,12.5293,14.67773,1,53.067322,38.40332,240.4688,236.25,229.2188,229.2188,230.625,199.6875,43.457,41.9922,45.8984,43.457,44.4336,23.4375,10.451355,0.54688,0.24414,2.65625,94.101471,391.60156,-199.80469,30,29.23828,4.86328,46.875,72.1875,1009.25293,605.46875,28.569946,9.948425,8.4375,8.75,6.0938
14.02.2023 12:00:00,-1.71875,5.50781,27.5,12.26074,14.69238,1,52.993164,38.482971,217.9688,212.3438,196.875,189.8438,182.8125,111.0938,28.3203,14.6484,23.4375,23.9258,13.6719,30.2734,10.447845,0.16602,0.13672,2.65625,94.105133,376.95313,-233.00781,27.59766,27.42188,4.80469,47.156982,68.3203,1009.5459,0,28.497314,10.029602,12.6563,9.2188,6.25
14.02.2023 15:00:00,-3.47656,1.32813,27.463379,12.21191,14.70215,1,52.9245,38.779602,271.4063,295.3125,278.4375,251.7188,281.25,217.9688,27.3438,12.6953,14.1602,20.5078,32.7148,27.3438,10.44693,0,0.22461,2.65625,94.103607,375.97656,-234.47266,27.48047,27.24609,4.74609,45.303955,66.1719,1011.30371,0,28.414001,10.345764,19.6875,8.4375,6.4063
14.02.2023 18:00:00,-3.00781,6.17188,27.30011,12.21191,14.69238,1,52.822876,38.471985,233.4375,233.4375,223.5938,219.375,239.0625,205.3125,30.2734,25.8789,34.1797,37.5977,41.0156,51.7578,10.450592,0,0.22461,2.65625,94.101166,375.97656,-229.58984,27.24609,27.07031,4.86328,46.864014,67.0313,1011.08398,0,28.379822,10.021057,23.9063,6.0938,4.8438
14.02.2023 21:00:00,-1.52344,2.65625,26.923218,12.17773,14.70215,1,52.886047,38.260498,217.9688,215.1563,178.5938,175.7813,202.5,232.0313,15.625,10.2539,10.7422,14.6484,6.3477,15.1367,10.45166,0,0.22461,2.65625,94.102386,406.25,-135.83984,26.95313,26.71875,4.6875,47.695313,67.8906,1009.39941,0,28.34137,9.801025,15.4688,5.4688,4.0625
15.02.2023 00:00:00,-3.24219,1.71875,26.911011,12.16797,14.71191,1,52.894287,38.320923,225,212.3438,210.9375,229.2188,232.0313,133.5938,32.7148,28.8086,20.0195,13.1836,15.1367,13.1836,10.448608,0,0.22461,2.65625,94.104218,379.88281,-213.47656,26.95313,26.71875,4.57031,46.831055,66.1719,1010.4248,0,28.328552,9.865112,5.625,7.0313,5.4688
15.02.2023 03:00:00,-3.78906,1.67969,27.193298,12.48047,14.69238,1,52.905273,38.763123,227.8125,223.5938,215.1563,208.125,215.1563,167.3438,36.6211,34.1797,34.668,34.668,31.25,27.3438,10.449219,0.58594,0.17578,2.65625,94.102692,396.48438,-173.92578,29.82422,28.88672,4.57031,46.951904,69.1797,1013.06152,603.51563,28.328552,10.322266,15.4688,6.7188,5.1563
